"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_Def","World","Emissions|CH4","Mt CH4/yr",376.9018,423.0403,346.3895,289.9867,272.2021,246.3142,237.7912,218.1547,213.5167,203.7776,201.633,"",193.915,"",185.5236,"",172.053,"",154.1329
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_Sust","World","Emissions|CH4","Mt CH4/yr",379.6271,426.5725,323.5158,252.92,215.9617,186.5577,174.5169,155.1007,146.7957,138.8531,135.8586,"",124.1615,"",111.8352,"",99.436,"",87.9509
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_early","World","Emissions|CH4","Mt CH4/yr",376.9018,423.1016,320.5768,263.2355,250.5285,233.2207,233.2155,216.678,212.9717,203.6744,202.4657,"",197.0846,"",188.555,"",174.993,"",157.0777
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_lifesty","World","Emissions|CH4","Mt CH4/yr",376.9018,422.9179,344.5041,286.0324,244.5968,216.3071,199.1832,167.9989,158.0649,149.7118,147.2675,"",136.2162,"",124.3391,"",111.4247,"",98.2203
"REMIND-MAgPIE 1.7-3.0","SMP_1p5C_regul","World","Emissions|CH4","Mt CH4/yr",379.6271,425.2933,341.305,281.8852,253.9452,228.8245,222.5361,200.9474,193.878,181.8571,178.3732,"",168.6773,"",159.7379,"",147.3525,"",131.6675
"REMIND-MAgPIE 1.7-3.0","SMP_2C_Sust","World","Emissions|CH4","Mt CH4/yr",379.6271,425.1476,342.2231,288.3663,247.6157,217.3135,207.0754,188.7898,173.4996,155.2871,149.47,"",136.6116,"",121.5883,"",105.6648,"",91.7817
"WITCH-GLOBIOM 3.1","SSP1-19","World","Emissions|CH4","Mt CH4/yr",373.231036,"",381.3262115,"",188.9848699,"",160.1626171,"",138.9107567,"",128.9730174,"",121.1485089,"",112.7880151,"",105.8949577,"",98.79263644
"WITCH-GLOBIOM 3.1","SSP4-19","World","Emissions|CH4","Mt CH4/yr",373.231036,"",386.1228465,"",194.6756222,"",165.1671224,"",143.4631866,"",130.6265275,"",121.4671476,"",114.1427542,"",108.1419428,"",101.8243199
"WITCH-GLOBIOM 4.2","ADVANCE_2020_1.5C-2100","World","Emissions|CH4","Mt CH4/yr",373.231036,345.5363903,321.4043087,173.7641851,161.5993563,156.8063607,153.4107325,150.9237225,147.6725513,145.6360908,143.3405971,141.2047181,137.8118137,134.8747813,128.7761997,125.7195718,121.2588115,118.3541347,115.6947731
"WITCH-GLOBIOM 4.4","CD-LINKS_NPi2020_1000","World","Emissions|CH4","Mt CH4/yr",356.8021544,371.2146851,385.8945494,202.5723483,167.6841223,154.035168,146.8329634,139.735787,134.013481,"",126.8189955,"",117.2762501,"",108.4191993,"",101.3167525,"",86.71698043
"WITCH-GLOBIOM 4.4","CD-LINKS_NPi2020_400","World","Emissions|CH4","Mt CH4/yr",356.8021544,371.2146851,385.8945494,174.3328844,147.9370043,139.1794389,133.3339179,128.1868066,122.4811676,"",116.3861328,"",108.7187238,"",97.6620557,"",90.94527779,"",85.3154226
"© IAMC 1.5°C Scenario Explorer hosted by IIASA https://data.ece.iiasa.ac.at/iamc-1.5c-explorer"
